标题,被引用文章标题
Flexible neural trees ensemble for stock index modeling,null
Flexible neural trees ensemble for stock index modeling,Modeling chaotic behavior of stock indices using intelligent paradigms
Flexible neural trees ensemble for stock index modeling,"Diagnosing shocks in stock markets of southeast Asia, Australia, and New Zealand"
Flexible neural trees ensemble for stock index modeling,Agent-based computational modeling of the stock price-volume relation
Flexible neural trees ensemble for stock index modeling,Evolving flexible neural networks using ant programming and PSO algorithm
Flexible neural trees ensemble for stock index modeling,Feature selection and intrusion detection using hybrid flexible neural tree
Flexible neural trees ensemble for stock index modeling,Time-series forecasting using flexible neural tree model
Flexible neural trees ensemble for stock index modeling,Nonlinear system modelling via optimal design of neural trees.
Flexible neural trees ensemble for stock index modeling,NEURAL NETWORKS AND THE BIAS VARIANCE DILEMMA
Flexible neural trees ensemble for stock index modeling,Particle swarm optimization
Flexible neural trees ensemble for stock index modeling,Genetic algorithms approach to feature discretization in artificial neural networks for the prediction of stock price index
Flexible neural trees ensemble for stock index modeling,Graded forecasting using an array of bipolar predictions: application of probabilistic neural networks to a stock market index
Flexible neural trees ensemble for stock index modeling,"Forecasting the NYSE composite index with technical analysis, pattern recognizer, neural network, and genetic algorithm: a case study in romantic decision support"
Flexible neural trees ensemble for stock index modeling,Stock market trading rule discovery using technical charting heuristics
Flexible neural trees ensemble for stock index modeling,An analysis of a hybrid neural network and pattern recognition technique for predicting short-term increases in the NYSE composite index
Flexible neural trees ensemble for stock index modeling,An ensemble of neural networks for weather forecasting
Flexible neural trees ensemble for stock index modeling,Efficient locally weighted polynomial regression predictions
Flexible neural trees ensemble for stock index modeling,Analyzing stock market tick data using piecewise nonlinear model
Flexible neural trees ensemble for stock index modeling,Improving returns on stock investment through neural network selection
Flexible neural trees ensemble for stock index modeling,Financial time series modelling with discounted least squares backpropagation
Flexible neural trees ensemble for stock index modeling,Multi-net systems
Flexible neural trees ensemble for stock index modeling,Modified support vector machines in financial time series forecasting
Flexible neural trees ensemble for stock index modeling,Forecasting S & P 500 stock index futures with a hybrid AI system
Flexible neural trees ensemble for stock index modeling,Financial markets analysis by using a probabilistic fuzzy modelling approach
Flexible neural trees ensemble for stock index modeling,Mining stock price using fuzzy rough set system
